"Winner","Race","Loser","Race","Map","Date","Prize","Double Chance","","","","","","","","","","","","","","","","","","",""
"이재호","T","김윤중","P","Ringing Bloom","2020-09-21","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","임홍규","Z","Polypoid","2020-09-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","임홍규","Z","Plasma","2020-09-28","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","이재호","T","Optimizer","2020-09-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","임홍규","Z","Ringing Bloom","2020-09-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","임홍규","Z","Eclipse","2020-09-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","이재호","T","Shakuras Temple","2020-09-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","임홍규","Z","Benzene","2020-09-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","임홍규","Z","Polypoid","2020-09-28","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"이재호","T","임홍규","Z","Shakuras Temple","2020-09-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","김명운","Z","Benzene","2020-10-10","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"이재호","T","김명운","Z","Polypoid","2020-10-10","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","김명운","Z","Eclipse","2020-10-10","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","김명운","Z","Shakuras Temple","2020-10-10","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김명운","Z","이재호","T","Optimizer","2020-10-10","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","김명운","Z","Plasma","2020-10-10","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","김명운","Z","Ringing Bloom","2020-10-10","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","김명운","Z","Benzene","2020-10-10","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김명운","Z","이재호","T","Polypoid","2020-10-10","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","도재욱","P","Ringing Bloom","2020-10-17","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","도재욱","P","Benzene","2020-10-17","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","도재욱","P","Eclipse","2020-10-17","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","Plasma","2020-10-17","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","Optimizer","2020-10-17","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"이재호","T","도재욱","P","Polypoid","2020-10-17","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","Shakuras Temple","2020-10-17","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","도재욱","P","Polypoid","2020-10-17","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","Plasma","2020-10-17","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","김민철","Z","Benzene","2020-10-19","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김민철","Z","이재호","T","Ringing Bloom","2020-10-19","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","김민철","Z","Plasma","2020-10-19","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","김민철","Z","Optimizer","2020-10-19","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김민철","Z","이재호","T","Polypoid","2020-10-19","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김민철","Z","이재호","T","Shakuras Temple","2020-10-19","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김민철","Z","이재호","T","Eclipse","2020-10-19","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","김민철","Z","Plasma","2020-10-19","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"이재호","T","김민철","Z","Ringing Bloom","2020-10-19","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"이재호","T","변현제","P","Plasma","2020-11-03","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","변현제","P","Benzene","2020-11-03","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"변현제"," P","이재호","T","Ringing Bloom","2020-11-03","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","변현제","P","Polypoid","2020-11-03","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"이재호","T","변현제","P","Eclipse","2020-11-03","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","변현제","P","Optimizer","2020-11-03","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","변현제","P","Shakuras Temple","2020-11-03","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"변현제","P","이재호","T","Plasma","2020-11-03","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"이재호","T","변현제","P","Polypoid","2020-11-03","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","장윤철","P","Plasma","2020-11-09","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"장윤철","P","이재호","T","Eclipse","2020-11-09","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"장윤철","P","이재호","T","Polypoid","2020-11-09","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","장윤철","P","Shakuras Temple","2020-11-09","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","장윤철","P","Benzene","2020-11-09","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"이재호","T","장윤철","P","Ringing Bloom","2020-11-09","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","장윤철","P","Optimizer","2020-11-09","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"장윤철","P","이재호","T","Plasma","2020-11-09","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","장윤철","P","Polypoid","2020-11-09","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","박상현","Z","Shakuras Temple","2020-12-08","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","박상현","Z","Polypoid","2020-12-08","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","박상현","Z","Plasma","2020-12-08","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","박상현","Z","Optimizer","2020-12-08","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","박상현","Z","Polypoid","2020-12-08","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","이재호","T","Benzene","2020-12-08","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","이재호","T","Eclipse","2020-12-08","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","이재호","T","Ringing Bloom","2020-12-08","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"박상현","Z","이재호","T","Plasma","2020-12-08","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"이재호","T","김명운","Z","Shakuras Temple","2020-12-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","김명운","Z","Polypoid","2020-12-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","김명운","Z","Ringing Bloom SE","2020-12-22","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김명운","Z","이재호","T","Benzene","2020-12-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김명운","Z","이재호","T","Plasma","2020-12-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김명운","Z","이재호","T","Optimizer","2020-12-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","김명운","Z","Eclipse","2020-12-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","김명운","Z","Shakuras Temple","2020-12-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","김명운","Z","Polypoid","2020-12-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","Plasma","2021-01-01","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","Ringing Bloom SE","2021-01-01","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","도재욱","P","Shakuras Temple","2021-01-01","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","Benzene","2021-01-01","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","도재욱","P","Optimizer","2021-01-01","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","Polypoid","2021-01-01","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"이재호","T","도재욱","P","Eclipse","2021-01-01","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","Plasma","2021-01-01","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이재호","T","도재욱","P","Eclipse","2021-01-01","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","도재욱"," P","Polypoid","2021-01-05","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","도재욱","P","Ringing Bloom SE","2021-01-05","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","도재욱","P","Benzene","2021-01-05","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"도재욱","P","임홍규","Z","Plasma","2021-01-05","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"도재욱","P","임홍규","Z","Optimizer","2021-01-05","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"도재욱","P","임홍규","Z","Eclipse","2021-01-05","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","도재욱","P","Shakuras Temple","2021-01-05","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","도재욱","P","Plasma","2021-01-05","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"도재욱","P","임홍규","Z","Ringing Bloom SE","2021-01-05","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"윤용태","P","임홍규","Z","Ringing Bloom SE","2021-01-10","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"윤용태","P","임홍규","Z","Polypoid","2021-01-10","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","윤용태","P","Shakuras Temple","2021-01-10","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","윤용태","P","Optimizer","2021-01-10","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"윤용태","P","임홍규","Z","Plasma","2021-01-10","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","윤용태","P","Eclipse","2021-01-10","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"윤용태","P","임홍규","Z","Benzene","2021-01-10","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","윤용태","P","Polypoid","2021-01-10","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","윤용태","P","Ringing Bloom SE","2021-01-10","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","유영진","T","Eclipse","2021-02-19","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"유영진","T","임홍규","Z","Polypoid","2021-02-19","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"유영진","T","임홍규","Z","Shakuras Temple","2021-02-19","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"유영진","T","임홍규","Z","Ringing Bloom SE","2021-02-19","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"유영진","T","임홍규","Z","Benzene","2021-02-19","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"유영진","T","임홍규","Z","Benzene","2021-02-19","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"유영진","T","임홍규","Z","Ringing Bloom SE","2021-02-19","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"유영진","T","임홍규","Z","Eclipse","2021-02-19","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"유영진","T","임홍규","Z","Shakuras Temple","2021-02-19","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"송병구","P","유영진","T","Polypoid","2021-02-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"유영진","T","송병구","P","Shakuras Temple","2021-02-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"유영진","T","송병구","P","Ringing Bloom SE","2021-02-22","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"송병구","P","유영진","T","Eclipse","2021-02-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"송병구","P","유영진","T","Benzene","2021-02-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"유영진","T","송병구","P","Shakuras Temple","2021-02-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"송병구","P","유영진","T","Eclipse","2021-02-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"유영진","T","송병구","P","Polypoid","2021-02-22","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"송병구","P","유영진","T","Ringing Bloom SE","2021-02-22","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김정우","Z","송병구","P","Polypoid","2021-02-26","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김정우","Z","송병구","P","Ringing Bloom SE","2021-02-26","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김정우","Z","송병구","P","Shakuras Temple","2021-02-26","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"송병구","P","김정우","Z","Eclipse","2021-02-26","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"송병구","P","김정우","Z","Benzene","2021-02-26","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"송병구","P","김정우","Z","Polypoid","2021-02-26","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"송병구","P","김정우","Z","Benzene","2021-02-26","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김정우","Z","송병구","P","Eclipse","2021-02-26","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김정우","Z","송병구","P","Ringing Bloom SE","2021-02-26","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김정우","Z","김윤중","P","Fighting Spirit","2021-03-23","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김정우","Z","김윤중","P","Ultimate Stream","2021-03-23","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김정우","Z","김윤중","P","Polypoid","2021-03-23","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김윤중","P","김정우","Z","Eclipse","2021-03-23","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김정우","Z","김윤중","P","Hidden Track","2021-03-23","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김정우","Z","김윤중","P","Ascension","2021-03-23","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김윤중","P","김정우","Z","Polaris Rhapsody","2021-03-23","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김정우","Z","김윤중","P","Polypoid","2021-03-23","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김정우","Z","김윤중","P","Ascension","2021-03-23","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김택용","P","이영한","Z","Fighting Spirit","2021-03-26","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김택용","P","이영한","Z","Polaris Rhapsody","2021-03-26","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"이영한","Z","김택용","P","Polypoid","2021-03-26","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김택용","P","이영한","Z","Eclipse","2021-03-26","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김택용","P","이영한","Z","Ultimate Stream","2021-03-26","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김택용","P","이영한","Z","Ascension","2021-03-26","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김택용","P","이영한","Z","Hidden Track","2021-03-26","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김택용","P","이영한","Z","Polypoid","2021-03-26","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김택용","P","이영한","Z","Polaris Rhapsody","2021-03-26","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","도재욱","P","Ultimate Stream","2021-03-27","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"도재욱","P","박상현","Z","Ascension","2021-03-27","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","도재욱","P","Polypoid","2021-03-27","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","도재욱","P","Fighting Spirit","2021-03-27","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","도재욱","P","Polaris Rhapsody","2021-03-27","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","도재욱","P","Eclipse","2021-03-27","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"도재욱","P","박상현","Z","Hidden Track","2021-03-27","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"도재욱","P","박상현","Z","Polypoid","2021-03-27","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"박상현","Z","도재욱","P","Hidden Track","2021-03-27","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"정영재","T","박상현","Z","Eclipse","2021-04-16","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","정영재","T","Polypoid","2021-04-16","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","정영재","T","Fighting Spirit","2021-04-16","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","정영재","T","Ascension","2021-04-16","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"정영재","T","박상현","Z","Hidden Track","2021-04-16","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","정영재","T","Ultimate Stream","2021-04-16","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"박상현","Z","정영재","T","Polaris Rhapsody","2021-04-16","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","정영재","T","Eclipse","2021-04-16","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"박상현","Z","정영재","T","Fighting Spirit","2021-04-16","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","김지성","T","Ascension","2021-04-20","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","김지성","T","Polypoid","2021-04-20","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","김지성","T","Eclipse","2021-04-20","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","김지성","T","Fighting Spirit","2021-04-20","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"박상현","Z","김지성","T","Hidden Track","2021-04-20","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김지성","T","박상현","Z","Polaris Rhapsody","2021-04-20","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김지성","T","박상현","Z","Ultimate Stream","2021-04-20","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김지성","T","박상현","Z","Ultimate Stream","2021-04-20","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김지성","T","박상현","Z","Polaris Rhapsody","2021-04-20","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","유영진","T","Eclipse","2021-04-30","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"유영진","T","박상현","Z","Polypoid","2021-04-30","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"유영진","T","박상현","Z","Hidden Track","2021-04-30","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"유영진","T","박상현","Z","Polaris Rhapsody","2021-04-30","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"유영진","T","박상현","Z","Ultimate Stream","2021-04-30","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"박상현","Z","유영진","T","Ascension","2021-04-30","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","유영진","T","Fighting Spirit","2021-04-30","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","유영진","T","Polypoid","2021-04-30","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"박상현","Z","유영진","T","Eclipse","2021-04-30","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"최호선","T","박상현","Z","Hidden Track","2021-05-03","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"최호선","T","박상현","Z","Polypoid","2021-05-03","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","최호선","T","Ultimate Stream","2021-05-03","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"최호선","T","박상현","Z","Fighting Spirit","2021-05-03","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"최호선","T","박상현","Z","Polaris Rhapsody","2021-05-03","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","최호선","T","Eclipse","2021-05-03","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"최호선","T","박상현","Z","Ascension","2021-05-03","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"최호선","T","박상현","Z","Ultimate Stream","2021-05-03","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"박상현","Z","최호선","T","Polypoid","2021-05-03","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"송병구","P","최호선","T","Hidden Track","2021-05-07","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"최호선","T","송병구","P","Polypoid","2021-05-07","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"송병구","P","최호선","T","Polaris Rhapsody","2021-05-07","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"최호선","T","송병구","P","Ultimate Stream","2021-05-07","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"송병구","P","최호선","T","Ascension","2021-05-07","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"송병구","P","최호선","T","Fighting Spirit","2021-05-07","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"송병구","P","최호선","T","Eclipse","2021-05-07","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"최호선","T","송병구","P","Fighting Spirit","2021-05-07","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"송병구","P","최호선","T","Polaris Rhapsody","2021-05-07","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"조기석","T","송병구","P","Polypoid","2021-05-14","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"조기석","T","송병구","P","Hidden Track","2021-05-14","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"조기석","T","송병구","P","Eclipse","2021-05-14","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"송병구","P","조기석","T","Ultimate Stream","2021-05-14","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"조기석","T","송병구","P","Fighting Spirit","2021-05-14","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"조기석","T","송병구","P","Polaris Rhapsody","2021-05-14","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"조기석","T","송병구","P","Ascension","2021-05-14","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"조기석","T","송병구","P","Eclipse","2021-05-14","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"송병구","P","조기석","T","Ultimate Stream","2021-05-14","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김민철","Z","조기석","T","Ultimate Stream","2021-05-28","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김민철","Z","조기석","T","Fighting Spirit","2021-05-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김민철","Z","조기석","T","Eclipse","2021-05-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"조기석","T","김민철","Z","Hidden Track","2021-05-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김민철","Z","조기석","T","Ascension","2021-05-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김민철","Z","조기석","T","Polypoid","2021-05-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"김민철","Z","조기석","T","Polaris Rhapsody","2021-05-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
"조기석","T","김민철","Z","Fighting Spirit","2021-05-28","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김민철","Z","조기석","T","Ultimate Stream","2021-05-28","￦100,000","￦0","","","","","","","","","","","","","","","","","","",""
