"Winner","Race","Loser","Race","Map","Date","Prize","Double Chance","","","","","","","","","","","","","","","","","","",""
"박상현","Z","김지성","T","Vermeer","2023-02-16","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"박상현","Z","김지성","T","Nemesis","2023-02-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","변현제","P","Nemesis","2023-02-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","박상현","Z","Dark Origin","2023-02-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","변현제","P","Vermeer","2023-02-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","변현제","P","76","2023-02-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","박상현","Z","Neo Heartbreak Ridge Line","2023-02-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","변현제","P","Retro","2023-02-21","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"변현제","P","박상현","Z","Neo Sylphid","2023-02-21","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"변현제","P","박상현","Z","Vermeer","2023-02-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","변현제","P","Retro","2023-02-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","박상현","Z","Retro","2023-02-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","박상현","Z","Vermeer","2023-02-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","유영진","T","Neo Heartbreak Ridge Line","2023-02-22","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"유영진","T","박상현","Z","76","2023-02-22","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"박상현","Z","유영진","T","Dark Origin","2023-02-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","박상현","Z","Nemesis","2023-02-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","유영진","T","Neo Sylphid","2023-02-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","유영진","T","Nemesis","2023-02-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","박상현","Z","Vermeer","2023-02-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","김명운","Z","Dark Origin","2023-02-23","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","김명운","Z","Neo Heartbreak Ridge Line","2023-02-23","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","김명운","Z","Vermeer","2023-02-23","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김명운","Z","유영진","T","76","2023-02-23","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","김명운","Z","Nemesis","2023-02-23","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김명운","Z","유영진","T","Retro","2023-02-23","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","김명운","Z","Neo Sylphid","2023-02-23","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김명운","Z","유영진","T","76","2023-02-23","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","김명운","Z","Vermeer","2023-02-23","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"유영진","T","장윤철","P","Neo Heartbreak Ridge Line","2023-03-09","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","유영진","T","76","2023-03-09","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","유영진","T","Vermeer","2023-03-09","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","유영진","T","Nemesis","2023-03-09","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","유영진","T","Retro","2023-03-09","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","유영진","T","Neo Sylphid","2023-03-09","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","유영진","T","Dark Origin","2023-03-09","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","유영진","T","Vermeer","2023-03-09","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"유영진","T","장윤철","P","Nemesis","2023-03-09","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"장윤철","P","이영한","Z","Vermeer","2023-03-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이영한","Z","장윤철","P","Neo Heartbreak Ridge Line","2023-03-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","이영한","Z","76","2023-03-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이영한","Z","장윤철","P","Neo Sylphid","2023-03-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이영한","Z","장윤철","P","Dark Origin","2023-03-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","이영한","Z","Nemesis","2023-03-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이영한","Z","장윤철","P","Retro","2023-03-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","이영한","Z","Nemesis","2023-03-12","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"장윤철","P","이영한","Z","Neo Heartbreak Ridge Line","2023-03-12","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"장윤철","P","황병영","T","Vermeer","2023-03-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","황병영","T","Neo Sylphid","2023-03-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","황병영","T","Nemesis","2023-03-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","황병영","T","Dark Origin","2023-03-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","황병영","T","Retro","2023-03-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","황병영","T","76","2023-03-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","황병영","T","Neo Heartbreak Ridge Line","2023-03-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","황병영","T","Vermeer","2023-03-16","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"장윤철","P","황병영","T","Neo Sylphid","2023-03-16","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김지성","T","장윤철","P","Vermeer","2023-04-05","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김지성","T","Dark Origin","2023-04-05","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김지성","T","Neo Sylphid","2023-04-05","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김지성","T","Nemesis","2023-04-05","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김지성","T","76","2023-04-05","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김지성","T","Neo Heartbreak Ridge Line","2023-04-05","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김지성","T","Retro","2023-04-05","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김지성","T","Vermeer","2023-04-05","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김지성","T","Neo Sylphid","2023-04-05","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김성대","Z","Vermeer","2023-04-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김성대","Z","Neo Heartbreak Ridge Line","2023-04-21","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김성대","Z","장윤철","P","Retro","2023-04-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김성대","Z","Dark Origin","2023-04-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김성대","Z","Neo Sylphid","2023-04-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김성대","Z","장윤철","P","Nemesis","2023-04-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김성대","Z","76","2023-04-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김성대","Z","장윤철","P","Vermeer","2023-04-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김성대","Z","장윤철","P","Dark Origin","2023-04-21","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"장윤철","P","이재호","T","Vermeer","2023-04-24","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"장윤철","P","이재호","T","Neo Sylphid","2023-04-24","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이재호","T","장윤철","P","Retro","2023-04-24","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","이재호","T","Neo Heartbreak Ridge Line","2023-04-24","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","이재호","T","76","2023-04-24","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","이재호","T","Nemesis","2023-04-24","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","이재호","T","Dark Origin","2023-04-24","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이재호","T","장윤철","P","Vermeer","2023-04-24","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","이재호","T","Neo Heartbreak Ridge Line","2023-04-24","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김명운","Z","Retro","2023-05-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김명운","Z","장윤철","P","76","2023-05-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김명운","Z","장윤철","P","Dark Origin","2023-05-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김명운","Z","장윤철","P","Neo Sylphid","2023-05-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김명운","Z","Neo Heartbreak Ridge Line","2023-05-16","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김명운","Z","장윤철","P","Vermeer","2023-05-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김명운","Z","장윤철","P","Nemesis","2023-05-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김명운","Z","Neo Heartbreak Ridge Line","2023-05-16","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김명운","Z","76","2023-05-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","김명운","Z","Dark Origin","2023-05-19","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","김명운","Z","Neo Heartbreak Ridge Line","2023-05-19","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","김명운","Z","Vermeer","2023-05-19","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김명운","Z","유영진","T","76","2023-05-19","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","김명운","Z","Nemesis","2023-05-19","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김명운","Z","유영진","T","Retro","2023-05-19","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","김명운","Z","Neo Sylphid","2023-05-19","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김명운","Z","유영진","T","76","2023-05-19","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","김명운","Z","Vermeer","2023-05-19","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"변현제","P","유영진","T","Nemesis","2023-05-23","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","변현제","P","Vermeer","2023-05-23","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","유영진","T","Neo Heartbreak Ridge Line","2023-05-23","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"유영진","T","변현제","P","Neo Sylphid","2023-05-23","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","유영진","T","Dark Origin","2023-05-23","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","유영진","T","Retro","2023-05-23","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","유영진","T","76","2023-05-23","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","유영진","T","Vermeer","2023-05-23","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"변현제","P","유영진","T","Neo Sylphid","2023-05-23","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이영한","Z","변현제","P","Retro","2023-05-25","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","이영한","Z","Nemesis","2023-05-25","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","이영한","Z","Vermeer","2023-05-25","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","이영한","Z","Neo Heartbreak Ridge Line","2023-05-25","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이영한","Z","변현제","P","76","2023-05-25","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"이영한","Z","변현제","P","Dark Origin","2023-05-25","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이영한","Z","변현제","P","Neo Sylphid","2023-05-25","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이영한","Z","변현제","P","Nemesis","2023-05-25","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"변현제","P","이영한","Z","Vermeer","2023-05-25","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이영한","Z","정영재","T","Vermeer","2023-05-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"정영재","T","이영한","Z","Neo Sylphid","2023-05-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"정영재","T","이영한","Z","Retro","2023-05-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"정영재","T","이영한","Z","Neo Heartbreak Ridge Line","2023-05-29","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"이영한","Z","정영재","T","Dark Origin","2023-05-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이영한","Z","정영재","T","Nemesis","2023-05-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"정영재","T","이영한","Z","76","2023-05-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"정영재","T","이영한","Z","Neo Heartbreak Ridge Line","2023-05-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"정영재","T","이영한","Z","Dark Origin","2023-05-29","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"도재욱","P","정영재","T","Retro","2023-06-02","￦100,000","","","","","","","","","","","","","","","","","","","",""
"정영재","T","도재욱","P","Vermeer","2023-06-02","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","정영재","T","Dark Origin","2023-06-02","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"도재욱","P","정영재","T","Neo Sylphid","2023-06-02","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","정영재","T","Nemesis","2023-06-02","￦100,000","","","","","","","","","","","","","","","","","","","",""
"정영재","T","도재욱","P","Neo Heartbreak Ridge Line","2023-06-02","￦100,000","","","","","","","","","","","","","","","","","","","",""
"정영재","T","도재욱","P","76","2023-06-02","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","정영재","T","Dark Origin","2023-06-02","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","정영재","T","Vermeer","2023-06-02","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"도재욱","P","김민철","Z","Neo Heartbreak Ridge Line","2023-06-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김민철","Z","도재욱","P","Retro","2023-06-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김민철","Z","도재욱","P","Neo Sylphid","2023-06-12","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김민철","Z","도재욱","P","Nemesis","2023-06-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","김민철","Z","Vermeer","2023-06-12","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"도재욱","P","김민철","Z","76","2023-06-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김민철","Z","도재욱","P","Dark Origin","2023-06-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","김민철","Z","Neo Sylphid","2023-06-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","김민철","Z","Retro","2023-06-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","도재욱","P","Vermeer","2023-06-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","도재욱","P","Dark Origin","2023-06-16","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"도재욱","P","김지성","T","Neo Sylphid","2023-06-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","김지성","T","Nemesis","2023-06-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","김지성","T","76","2023-06-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","김지성","T","Neo Heartbreak Ridge Line","2023-06-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","도재욱","P","Retro","2023-06-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","김지성","T","Neo Sylphid","2023-06-16","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","김지성","T","Vermeer","2023-06-16","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"이재호","T","도재욱","P","Neo Sylphid","2023-06-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","Neo Heartbreak Ridge Line","2023-06-22","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","76","2023-06-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","Nemesis","2023-06-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이재호","T","도재욱","P","Vermeer","2023-06-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","Dark Origin","2023-06-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이재호","T","도재욱","P","Retro","2023-06-22","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","Neo Heartbreak Ridge Line","2023-06-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","Vermeer","2023-06-22","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","도재욱","P","76","2023-06-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","도재욱","P","Neo Sylphid","2023-06-29","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"도재욱","P","박상현","Z","Retro","2023-06-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","도재욱","P","Neo Heartbreak Ridge Line","2023-06-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","도재욱","P","Nemesis","2023-06-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","도재욱","P","Vermeer","2023-06-29","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"도재욱","P","박상현","Z","Dark Origin","2023-06-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","도재욱","P","76","2023-06-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","박상현","Z","Neo Sylphid","2023-06-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","박상현","Z","Vermeer","2023-07-10","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","박상현","Z","Retro","2023-07-10","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","김지성","T","Neo Sylphid","2023-07-10","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","김지성","T","Neo Heartbreak Ridge Line","2023-07-10","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","박상현","Z","Dark Origin","2023-07-10","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","박상현","Z","Retro","2023-07-10","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"박상현","Z","김지성","T","Neo Heartbreak Ridge Line","2023-07-10","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","박상현","Z","Vermeer","2023-07-10","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"박상현","Z","김지성","T","Dark Origin","2023-07-10","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","김지성","T","Neo Dark Origin","2023-07-17","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","김지성","T","La Campanella","2023-07-17","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김지성","T","변현제","P","Apocalypse","2023-07-17","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","변현제","P","Tempest","2023-07-17","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","김지성","T","Retro","2023-07-17","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","변현제","P","La Campanella","2023-07-17","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","변현제","P","Neo Dark Origin","2023-07-17","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"변현제","P","김지성","T","Apocalypse","2023-07-17","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","변현제","P","Retro","2023-07-17","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","조일장","Z","Apocalypse","2023-07-31","￦100,000","","","","","","","","","","","","","","","","","","","",""
"조일장","Z","김지성","T","Polypoid","2023-07-31","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","조일장","Z","La Campanella","2023-07-31","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","조일장","Z","Invader","2023-07-31","￦100,000","","","","","","","","","","","","","","","","","","","",""
"조일장","Z","김지성","T","Retro","2023-07-31","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","조일장","Z","La Campanella","2023-07-31","￦100,000","","","","","","","","","","","","","","","","","","","",""
"조일장","Z","김지성","T","Retro","2023-07-31","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김지성","T","조일장","Z","Polypoid","2023-07-31","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"조일장","Z","김지성","T","Invader","2023-07-31","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김지성","T","Neo Dark Origin","2023-08-03","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김지성","T","Polypoid","2023-08-03","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","장윤철","P","Tempest","2023-08-03","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김지성","T","Apocalypse","2023-08-03","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김지성","T","Retro","2023-08-03","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김지성","T","Polypoid","2023-08-03","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김지성","T","장윤철","P","Retro","2023-08-03","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김지성","T","Apocalypse","2023-08-03","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김지성","T","Tempest","2023-08-03","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김성대","Z","Retro","2023-08-07","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김성대","Z","장윤철","P","Polypoid","2023-08-07","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김성대","Z","Neo Dark Origin","2023-08-07","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김성대","Z","Tempest","2023-08-07","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김성대","Z","Apocalypse","2023-08-07","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김성대","Z","장윤철","P","Retro","2023-08-07","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김성대","Z","Neo Dark Origin","2023-08-07","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김성대","Z","Polypoid","2023-08-07","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","김성대","Z","Tempest","2023-08-07","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"윤찬희","T","송병구","P","Polypoid","2023-08-17","￦100,000","","","","","","","","","","","","","","","","","","","",""
"송병구","P","윤찬희","T","Apocalypse","2023-08-17","￦100,000","","","","","","","","","","","","","","","","","","","",""
"송병구","P","윤찬희","T","Retro","2023-08-17","￦100,000","","","","","","","","","","","","","","","","","","","",""
